Timestamp,Date,Multichain,Stargate,Polygon PoS Bridge,Avalanche Bridge,Portal by Wormhole,xDai Bridge,Arbitrum Bridge,Synapse,Optimism Gateway,Celer cBridge,Hop,Orbit Bridge,Across,Rainbow Bridge,Core Bitcoin Bridge,ChainPort,Optics,Total
1661990400,01/09/2022,28324588.79188917,10764787.750836253,18799815.870448075,47674409.30734822,2452716.29072944,683481.0458141062,80306133.47189522,6198533.803962806,14904925.44746657,9446787.874179557,3584919.241788624,554572.1032872479,4468531.973916962,2125543.179172469,3304742.6768208705,44961.933886978666,44560.05044246444,233684010.81388497
1662076800,02/09/2022,41250456.67354179,18277519.919125177,85732127.21133253,21483703.705441058,1728886.9805867164,747474.5114250653,5194472.484472803,5021249.0311442595,8330424.118089968,8150957.491846655,2424903.026342168,678080.6444025466,4172378.674929413,1494714.2271384862,302906.9359852947,87227.78070229341,17848.868341402005,205095332.28484762
1662163200,03/09/2022,36880045.77874479,2961997.765383795,14525517.474033482,10997417.251165546,754404.5145319272,132699.79127018395,6320682.523317648,2563153.4684723597,10920384.068560993,6619459.822199173,2031485.6036823597,729192.5148853817,2434478.5448784977,2840317.358025478,921762.9665232416,40343.840799206366,8006.63737278038,101681349.92384684
1662249600,04/09/2022,36928136.657846905,6871144.763461659,15966841.9588377,2293623.5597288003,2772561.5075095175,1462977.646389514,8649430.132395884,5662453.992116498,8526933.532310033,6905699.801834234,3058051.757558332,727848.6609683385,3923990.944044163,9997904.226358874,196548.5937931473,47666.055411507536,113.26962372421725,113991927.06018883
1662336000,05/09/2022,58959613.47770097,6429509.603734725,39827501.55245279,6616239.125729163,1590124.039893113,1386372.462267297,11388380.365824897,11896858.028143784,60889449.48264074,9666435.46226805,6279780.292548394,1189362.7044357741,5726280.152411958,4017735.5649675988,221540.81408270408,88084.96155993838,6769.487172899006,226180037.5778348
1662422400,06/09/2022,57623016.71781272,12485121.777419768,54702110.37749599,7368037.415614206,1985851.2167558419,490421.89988290245,12355374.199873207,11596332.966935823,9262921.53927628,8166433.424118927,11130932.204877239,1280521.4900908635,2648549.5947086094,5680318.585232616,617.8373686230383,77808.0037574287,405.5428280448529,196854774.7940491
1662508800,07/09/2022,46814964.633064084,8095530.831892658,72770102.69053817,,1565852.8777953913,625421.5304928299,8768815.51450484,9062069.251974182,9192660.186649414,9119856.208706785,5254270.33276464,1128775.1340006222,10415647.603685204,1359051.5471667503,42904.90003947961,139272.11472242523,25.073550386361468,184355220.43154794
1662595200,08/09/2022,83936474.84106684,8854559.585213356,42192384.39016831,546891.0678126162,1799470.7194345011,5793624.924941287,6310972.427464419,8159995.963325249,20656374.31143271,20638278.47992816,4297457.882019978,61930174.14021365,9433489.860928148,3800148.622203688,5897517.072351019,455736.9508563984,125814.1996441436,284829365.4390046
1662681600,09/09/2022,35452513.2957856,8624413.504818648,34768747.34113625,37341937.55597249,1553478.9361200365,4657561.898275441,13777947.365855195,9709613.203067396,22121264.83381337,7868511.03437634,5618458.79891913,330784.24480887793,10801181.507290728,4105725.4469645545,1683052.5339623818,288518.1660297365,458.45366253820987,198704168.12085873
1662768000,10/09/2022,24579126.57694802,21173285.728906654,23886585.439042322,31220425.352346323,909398.641763367,2312760.5108521725,5640774.079805597,4866462.272413934,11674869.152419968,5031565.276669522,5185941.899312522,1181389.1573128114,3471431.9527886827,809725.8669272005,99014.02310698133,178561.29397104218,61032.15293506275,142282349.3775222
1662854400,11/09/2022,33297241.20505465,4295043.241168619,19873750.764309216,8208416.700461912,3824160.784950623,951835.4683343314,5932318.835022347,10558708.108690284,6064607.350729734,6368347.682234269,7762308.204897741,286652.851903233,997831.987822345,1483358.220866423,151063.14407000743,125710.25118562517,36926.36276011461,110218281.1644615
1662940800,12/09/2022,49237635.385445304,9271882.096474139,31041420.824888214,39478198.61269939,5775994.034974424,539179.8914895984,25930578.117465537,14148830.210581493,7118991.894407824,11867145.071618386,12505913.484802138,962945.0236630919,1800849.3763453746,0,206183.77967745592,97266.22991546875,10205.861276426349,209993219.8957242
1663027200,13/09/2022,44440060.30346556,8875067.45147838,63385085.61299059,35719015.20128715,5969805.570371902,19865246.833948966,37612054.29945349,10707403.540971536,16511401.162476178,12707128.81520351,8511214.0698226,831411.8712562725,4226340.248074033,0,617532.8832843938,868660.78625708,9071.013645690287,270856499.6639874
1663113600,14/09/2022,76583535.37000862,17546055.656758912,190951511.59184873,170740816.38718015,32439706.72194674,55859812.78023989,13575839.960359666,21793860.079238106,64360143.60823895,7959467.349904414,19778147.697679427,483775.3324397728,5331652.713977009,0,368345.889687076,444339.28910182713,19842.11133215659,678236852.5399413
1663200000,15/09/2022,64728059.44313866,11674828.859865895,112418406.66424155,227791742.8283341,3936759.377381062,27542721.49499259,37436192.79915082,17824725.52212643,35404785.47611142,10122442.415689321,10067870.099843133,27025.530876433353,496410.959620469,0,1280885.4342152837,91781.25440564126,42628.13407088342,560887266.2940638
